Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	LINAC1C:rdHVS_C [µA]	
09/04/2017 07:10:18.851578	18.1376	1.13868	0.1	0.0259987	46.4047	0.466227	0.464047	-3.81947	
09/04/2017 07:10:19.351465	18.3306	1.12803	0.1	0.0259987	42.2851	0.466227	0.422851	-3.81947	
09/04/2017 07:10:19.850644	18.3306	1.12744	0	0.0259987	42.2851	0.429785	0.422851	-3.81947	
09/04/2017 07:10:20.350652	18.3311	1.12744	0	0.0259987	42.2851	0.429785	0.422851	-3.99307	
09/04/2017 07:10:20.849947	18.3311	1.13744	0	0.00859402	42.2851	0.429785	0.422851	-3.99307	
09/04/2017 07:10:21.349171	18.5383	1.12338	0	-0.0177082	42.9785	0.429785	0.455941	-3.99307	
09/04/2017 07:10:21.848824	18.5383	1.12338	0	-0.0549371	45.5941	0.4603	0.455941	-3.99307	
09/04/2017 07:10:22.348493	18.5384	1.12495	0	-0.0632882	45.5941	0.4603	0.455941	-3.81947	
09/04/2017 07:10:22.847877	18.5384	1.13257	0	-0.0688296	45.5941	0.4603	0.455941	-3.81947	
09/04/2017 07:10:23.347746	18.8877	1.13257	0	-0.0700784	46.03	0.4603	0.75193	-3.81947	
09/04/2017 07:10:23.847666	18.8877	1.15266	0	-0.0700784	75.193	0.762291	0.75193	-3.81947	
09/04/2017 07:10:24.347526	18.8881	1.15221	0	-0.0700784	75.193	0.762291	0.75193	-3.81947	
09/04/2017 07:10:24.847218	18.8881	1.15221	0	-0.0700784	75.193	0.762291	0.75193	-3.81947	
09/04/2017 07:10:25.347227	19.2531	1.1446	0	-0.0700784	76.2291	0.762291	0.796265	-3.99307	
09/04/2017 07:10:25.846437	19.2531	1.1446	0	-0.0700784	79.4803	0.794803	0.796265	-3.81947	
09/04/2017 07:10:26.346346	19.252	1.1501	0	-0.0700784	79.4803	0.794803	0.796265	-3.99307	
09/04/2017 07:10:26.846078	19.252	1.17606	0	-0.0700784	79.4803	0.794803	0.796265	-3.81947	
09/04/2017 07:10:27.345828	19.5934	1.1756	0	-0.0700784	72.9716	0.794803	0.729716	-3.99307	
09/04/2017 07:10:27.845205	19.5934	1.1756	0	-0.0700784	72.9366	0.729366	0.729716	-3.81947	
09/04/2017 07:10:28.344979	19.5934	1.13732	0	-0.0700784	72.9366	0.729366	0.729716	-3.81947	
09/04/2017 07:10:28.844170	19.5934	1.13732	0	-0.0700784	72.9366	0.729366	0.729716	-3.81947	
09/04/2017 07:10:29.344182	19.9542	1.12787	0	-0.0700784	72.9366	0.729366	0.799675	-3.81947	
09/04/2017 07:10:29.843779	19.9542	1.12787	0	-0.0700784	79.5287	0.795287	0.799675	-3.81947	
09/04/2017 07:10:30.343112	19.9531	0.699935	0	-0.0700784	79.5287	0.795287	0.799675	-3.81947	
09/04/2017 07:10:30.842298	19.9531	0.699353	0	-0.0700784	79.5287	0.795287	0.799675	-3.99307	
