Time	PKC00V []	PSEK2D1R:set [kV]	PAHB:sCavSet [kV]	PAHR:sCavSet []	TOPUPCC:rdCur [mA]	TOPUPCC:rdEffBoostR [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	PAHB:sDelay [ns]	PAHB:pDelay [ns]	
05/07/2019 21:31:20.253788	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:21.253669	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:22.253473	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:23.253287	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:24.253099	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:25.252164	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:26.251174	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:27.250814	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:28.249960	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:29.249967	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:30.249895	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:31.248951	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:32.248144	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:33.247780	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:34.247328	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:35.246398	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:36.246220	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:37.245978	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:38.245788	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:39.245710	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:40.245064	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:41.244589	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:42.244397	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:43.244158	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:44.243926	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:45.242985	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:46.242191	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:47.241226	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:48.241121	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:49.240987	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:50.240840	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:51.240035	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:52.239766	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:53.239789	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:54.238987	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:55.238809	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:56.238133	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:57.237211	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:58.236234	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:31:59.235339	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0703906	
05/07/2019 21:32:00.235146	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.01	-0.0703906	
05/07/2019 21:32:01.235213	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.01	-0.0703906	
05/07/2019 21:32:02.234352	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.02	-0.0703906	
05/07/2019 21:32:03.233798	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.02	-0.0614931	
05/07/2019 21:32:04.233469	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.03	-0.0578248	
05/07/2019 21:32:05.232839	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.03	-0.0474444	
05/07/2019 21:32:06.232918	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.04	-0.0474444	
05/07/2019 21:32:07.232726	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.04	-0.036986	
05/07/2019 21:32:08.232626	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.05	-0.036986	
05/07/2019 21:32:09.232169	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.05	-0.0263715	
05/07/2019 21:32:10.231670	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.06	-0.0263715	
05/07/2019 21:32:11.230696	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.06	-0.0159911	
05/07/2019 21:32:12.229915	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.0159911	
05/07/2019 21:32:13.229469	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:14.229142	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:15.228835	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:16.228490	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:17.227663	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:18.227145	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:19.227163	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:20.226515	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:21.226739	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0.07	-0.00545462	
05/07/2019 21:32:22.226685	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.00545462	
05/07/2019 21:32:23.226200	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0484591	
05/07/2019 21:32:24.225925	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.066254	
05/07/2019 21:32:25.225378	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:26.224592	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:27.224277	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:28.224014	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:29.223141	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:30.222220	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:31.221378	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:32.220462	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:33.220364	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:34.219698	0.124632	1.3953	775	1400	0	75.9752	0.768125	0.759752	0	-0.0702345	
05/07/2019 21:32:35.219609	0.124632	1.3953	775	1400	0.0598403	82.1866	0.821866	0.82878	0	-0.0702345	
05/07/2019 21:32:36.219104	0.124632	1.3953	775	1400	0.155322	2.3727	0.023727	0.0402045	0	-0.0702345	
05/07/2019 21:32:37.218229	0.124632	1.3953	775	1400	0.238156	-1	0.023727	-0.119941	0	-0.0702345	
05/07/2019 21:32:38.217757	0.124632	1.3953	775	1400	0.32171	-1	-0.103718	0.733725	0	-0.0702345	
05/07/2019 21:32:39.217370	0.124632	1.3953	775	1400	0.402775	71.4613	0.742851	0.714613	0	-0.0702345	
05/07/2019 21:32:40.217126	0.124632	1.3953	775	1400	0.480746	71.0082	0.712997	0.710082	0	-0.0702345	
05/07/2019 21:32:41.216274	0.124632	1.3953	775	1400	0.480746	71.0082	0.712997	0.710082	0	-0.0702345	
05/07/2019 21:32:42.215999	0.124632	1.3953	775	1400	0.558177	69.8123	0.700818	0.698123	0	-0.0702345	
05/07/2019 21:32:43.215742	0.124632	1.3953	775	1400	0.635202	68.8168	0.728444	0.688168	0	-0.0702345	
05/07/2019 21:32:44.215691	0.124632	1.3953	775	1400	0.714865	71.3496	0.728444	0.713496	0.01	-0.0702345	
05/07/2019 21:32:45.215032	0.124632	1.3953	775	1400	0.79403	72.6078	0.742887	0.726078	0.01	-0.0702345	
05/07/2019 21:32:46.214140	0.124632	1.3953	775	1400	0.877749	70.7135	0.707135	0.743283	0.02	-0.0702345	
05/07/2019 21:32:47.213836	0.124632	1.3953	775	1400	0.966552	70.1744	0.707979	0.701744	0.02	-0.0582151	
05/07/2019 21:32:48.213831	0.124632	1.3953	775	1400	1.04672	70.9502	0.709502	0.740242	0.03	-0.0525956	
05/07/2019 21:32:49.213975	0.124632	1.3953	775	1400	1.12459	70.7013	0.717753	0.707013	0.03	-0.0477566	
05/07/2019 21:32:50.213607	0.124632	1.3953	775	1400	1.28171	70.349	0.70349	0.722096	0.04	-0.0424494	
05/07/2019 21:32:51.213460	0.124632	1.3953	775	1400	1.36104	68.1868	0.682086	0.681868	0.04	-0.036908	
05/07/2019 21:32:52.212917	0.124632	1.3953	775	1400	1.44343	72.2745	0.722745	0.723463	0.05	-0.0316788	
05/07/2019 21:32:53.212694	0.124632	1.3953	775	1400	1.52755	69.5878	0.695878	0.709244	0.05	-0.0267617	
05/07/2019 21:32:54.211718	0.124632	1.3953	775	1400	1.60702	63.8568	0.638568	0.640435	0.06	-0.0214545	
05/07/2019 21:32:55.211572	0.124632	1.3953	775	1400	1.68385	64.8899	0.649586	0.648899	0.06	-0.0163813	
05/07/2019 21:32:56.211268	0.124632	1.3953	775	1400	1.76349	63.9626	0.639626	0.661572	0.07	-0.0107619	
05/07/2019 21:32:57.210598	0.124632	1.3953	775	1400	1.76349	66.1572	0.708797	0.712056	0.07	-0.00576682	
05/07/2019 21:32:58.210725	0.124632	1.3953	775	1400	1.8483	62.213	0.62213	0.712056	0.08	-0.000771744	
05/07/2019 21:32:59.209957	0.124632	1.3953	775	1400	1.91802	60.835	0.650761	0.60835	0.08	0.005316	
05/07/2019 21:33:00.209460	0.124632	1.3953	775	1400	1.99335	64.1017	0.64721	0.641017	0.09	0.00999888	
05/07/2019 21:33:01.208885	0.124632	1.3953	775	1400	2.07117	58.3838	0.583838	0.634917	0.09	0.0153061	
05/07/2019 21:33:02.208655	0.124632	1.3953	775	1400	2.20319	59.944	0.601971	0.59944	0.1	0.0200671	
05/07/2019 21:33:03.208263	0.124632	1.3953	775	1400	2.20319	-1	0.504509	0.59944	0.1	0.0259987	
05/07/2019 21:33:04.207642	0.124632	1.3953	775	1400	2.24126	-1	0.617838	0.49806	0.11	0.0309157	
05/07/2019 21:33:05.207480	0.124632	1.3953	775	1400	2.36471	53.7049	0.538266	0.537049	0.11	0.0365352	
05/07/2019 21:33:06.207701	0.124632	1.3953	775	1400	2.42355	52.9011	0.529011	0.532667	0.12	0.0412181	
05/07/2019 21:33:07.207614	0.124632	1.3953	775	1400	2.42355	47.8533	0.478533	0.532667	0.12	0.0471497	
05/07/2019 21:33:08.207782	0.124632	1.3953	775	1400	2.53637	49.3036	0.493036	0.495739	0.13	0.0517546	
05/07/2019 21:33:09.206880	0.124632	1.3953	775	1400	2.59117	46.2804	0.476821	0.462804	0.13	0.0571399	
05/07/2019 21:33:10.206958	0.124632	1.3953	775	1400	2.59117	45.8778	0.458778	0.462804	0.14	0.0619788	
05/07/2019 21:33:11.206048	0.124632	1.3953	775	1400	2.69357	-1	0.438698	0.432521	0.14	0.0678324	
05/07/2019 21:33:12.205901	0.124632	1.3953	775	1400	2.7419	-1	0.449556	0.441522	0.15	0.0724373	
05/07/2019 21:33:13.205659	0.124632	1.3953	775	1400	2.78507	-1	0.369191	0.365732	0.15	0.0779787	
05/07/2019 21:33:14.205297	0.124632	1.3953	775	1400	2.78507	-1	0.328818	0.365732	0.16	0.0827396	
05/07/2019 21:33:15.205233	0.124632	1.3953	775	1400	2.86109	-1	0.303043	0.313975	0.16	0.0889835	
05/07/2019 21:33:16.204936	0.124632	1.3953	775	1400	2.89644	-1	0.297411	0.288002	0.17	0.09312	
05/07/2019 21:33:17.204449	0.124632	1.3953	775	1400	2.93436	-1	0.288218	0.28658	0.17	0.0992858	
05/07/2019 21:33:18.204446	0.124632	1.3953	775	1400	2.96637	-1	0.237353	0.233509	0.18	0.103656	
05/07/2019 21:33:19.204493	0.124632	1.3953	775	1400	2.99277	-1	0.172743	0.186093	0.18	0.109978	
05/07/2019 21:33:20.204247	0.124632	1.3953	775	1400	3.01996	-1	0.18287	0.184999	0.19	0.113881	
05/07/2019 21:33:21.203829	0.124632	1.3953	775	1400	3.04255	-1	0.142107	0.139981	0.19	0.120359	
05/07/2019 21:33:22.202866	0.124632	1.3953	775	1400	3.06304	-1	0.141035	0.127723	0.2	0.124183	
05/07/2019 21:33:23.202181	0.124632	1.3953	775	1400	3.08333	-1	0.136936	0.121961	0.2	0.130817	
05/07/2019 21:33:24.201809	0.124632	1.3953	775	1400	3.10392	-1	0.113607	0.116683	0.21	0.134642	
05/07/2019 21:33:25.201599	0.124632	1.3953	775	1400	3.11969	-1	0.07107	0.0700696	0.21	0.14112	
05/07/2019 21:33:26.201349	0.124632	1.3953	775	1400	3.13504	-1	0.0590885	0.066355	0.22	0.1451	
05/07/2019 21:33:27.200818	0.124632	1.3953	775	1400	3.14325	-1	-0.0103066	-0.0125992	0.22	0.151656	
05/07/2019 21:33:28.200622	0.124632	1.3953	775	1400	3.15471	-1	0.0325788	0.0277411	0.23	0.155324	
05/07/2019 21:33:29.200357	0.124632	1.3953	775	1400	3.16311	-1	-0.0212603	-0.0068571	0.23	0.162271	
05/07/2019 21:33:30.199831	0.124632	1.3953	775	1400	3.17111	-1	-0.00293128	-0.0100686	0.24	0.165705	
05/07/2019 21:33:31.199699	0.124632	1.3953	775	1400	3.17809	-1	-0.0240906	-0.0212704	0.24	0.172495	
05/07/2019 21:33:32.199092	0.124632	1.3953	775	1400	3.17809	-1	-0.0240906	-0.0212704	0.25	0.175851	
05/07/2019 21:33:33.198247	0.124632	1.3953	775	1400	3.19244	-1	-0.018127	-0.0378222	0.25	0.183031	
05/07/2019 21:33:34.197891	0.124632	1.3953	775	1400	3.19717	-1	-0.0264885	-0.0441409	0.26	0.186778	
05/07/2019 21:33:35.197883	0.124632	1.3953	775	1400	3.20252	-1	-0.0229256	-0.03748	0.26	0.19349	
05/07/2019 21:33:36.197170	0.124632	1.3953	775	1400	3.20863	-1	-0.0400068	-0.0339254	0.27	0.196924	
05/07/2019 21:33:37.197102	0.124632	1.3953	775	1400	3.21226	-1	-0.0462085	-0.0650947	0.27	0.204104	
05/07/2019 21:33:38.196899	0.124632	1.3953	775	1400	3.21755	-1	-0.0631398	-0.0391092	0.28	0.207226	
05/07/2019 21:33:39.196702	0.124632	1.3953	775	1400	3.21947	-1	-0.0476316	-0.0776127	0.28	0.214563	
05/07/2019 21:33:40.196318	0.124632	1.3953	775	1400	3.2247	-1	-0.0691637	-0.03911	0.29	0.217841	
05/07/2019 21:33:41.196131	0.124632	1.3953	775	1400	3.22534	-1	-0.0685793	-0.0924838	0.29	0.225021	
05/07/2019 21:33:42.195634	0.124632	1.3953	775	1400	3.22858	-1	-0.0682986	-0.0607721	0.3	0.228377	
05/07/2019 21:33:43.194732	0.124632	1.3953	775	1400	3.22976	-1	-0.0798905	-0.0947032	0.3	0.235558	
05/07/2019 21:33:44.194283	0.124632	1.3953	775	1400	3.23201	-1	-0.0765245	-0.0744049	0.31	0.238758	
05/07/2019 21:33:45.193940	0.124632	1.3953	775	1400	3.23343	-1	-0.0805646	-0.0802676	0.31	0.24586	
05/07/2019 21:33:46.193166	0.124632	1.3953	775	1400	3.23547	-1	-0.0777938	-0.0724618	0.32	0.249216	
05/07/2019 21:33:47.192971	0.124632	1.3953	775	1400	3.23766	-1	-0.0831009	-0.0783933	0.32	0.256396	
05/07/2019 21:33:48.192573	0.124632	1.3953	775	1400	3.23878	-1	-0.0831009	-0.113479	0.33	0.259362	
05/07/2019 21:33:49.191926	0.124632	1.3953	775	1400	3.23824	-1	-0.119277	-0.108242	0.33	0.266933	
05/07/2019 21:33:50.191306	0.124632	1.3953	775	1400	3.23899	-1	-0.0823304	-0.0799049	0.34	0.269977	
05/07/2019 21:33:51.190488	0.124632	1.3953	775	1400	3.24021	-1	-0.0745119	-0.0847609	0.34	0.277313	
05/07/2019 21:33:52.189972	0.124632	1.3953	775	1400	3.24225	-1	-0.0967461	-0.116815	0.35	0.280357	
05/07/2019 21:33:53.189965	0.124632	1.3953	775	1400	3.24263	-1	-0.141252	-0.081152	0.35	0.287928	
05/07/2019 21:33:54.189264	0.124632	1.3953	775	1400	3.24439	-1	-0.0651854	-0.0689275	0.36	0.290894	
05/07/2019 21:33:55.188579	0.124632	1.3953	775	1400	3.24395	-1	-0.0742983	-0.0961657	0.36	0.298152	
05/07/2019 21:33:56.188074	0.124632	1.3953	775	1400	3.24659	-1	-0.0799749	-0.0574954	0.37	0.301118	
05/07/2019 21:33:57.187780	0.124632	1.3953	775	1400	3.24667	-1	-0.0676399	-0.0933597	0.37	0.308845	
05/07/2019 21:33:58.187677	0.124632	1.3953	775	1400	3.24618	-1	-0.0879465	-0.0931081	0.38	0.311967	
05/07/2019 21:33:59.187161	0.124632	1.3953	775	1400	3.24618	-1	-0.0830515	-0.0931081	0.38	0.319459	
05/07/2019 21:34:00.186711	0.124632	1.3953	775	1400	3.24821	-1	-0.0771357	-0.0690219	0.39	0.322035	
05/07/2019 21:34:01.186694	0.124632	1.3953	775	1400	3.24821	-1	-0.0731415	-0.0690219	0.39	0.329762	
05/07/2019 21:34:02.186526	0.124632	1.3953	775	1400	3.24867	-1	-0.0677998	-0.0749597	0.4	0.332727	
05/07/2019 21:34:03.186024	0.124632	1.3953	775	1400	3.2493	-1	-0.0763601	-0.0749597	0.4	0.34022	
05/07/2019 21:34:04.185110	0.124632	1.3953	775	1400	3.24914	-1	-0.0898069	-0.0869221	0.41	0.34303	
05/07/2019 21:34:05.185027	0.124632	1.3953	775	1400	3.24904	-1	-0.0880769	-0.0841293	0.41	0.350678	
