Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	
09/04/2017 04:50:57.098084	3.61384	0.566899	0	-0.0700003	86.9782	0.87047	0.869782	
09/04/2017 04:50:58.097253	3.61303	0.566377	0	-0.0700003	86.4901	0.864901	0.869782	
09/04/2017 04:50:59.096829	3.81595	0.568669	0	-0.0700003	86.4901	0.864901	0.884955	
09/04/2017 04:51:00.095864	3.81545	0.576465	0	-0.0700003	87.6977	0.876977	0.884955	
09/04/2017 04:51:01.095517	4.01899	0.5647	0	-0.0700003	87.6977	0.876977	0.903679	
09/04/2017 04:51:02.094616	4.02087	0.563656	0	-0.0700003	90.3679	0.910489	0.903679	
09/04/2017 04:51:03.094549	4.22687	0.566933	0	-0.0700003	89.8692	0.910489	0.898692	
09/04/2017 04:51:04.094477	4.22529	0.567943	0	-0.0700003	89.8692	0.907842	0.898692	
09/04/2017 04:51:05.093624	4.43545	0.581476	0	-0.0700003	89.8692	0.907842	0.898692	
09/04/2017 04:51:06.093266	4.43579	0.572993	0	-0.0700003	90.9767	0.909767	0.915088	
09/04/2017 04:51:07.092447	4.64174	0.562109	0	-0.0700003	90.9767	0.909767	0.915088	
09/04/2017 04:51:08.092121	4.64112	0.568952	0.05	-0.0700003	87.583	0.8905	0.87583	
09/04/2017 04:51:09.091270	4.85668	0.563723	0.05	-0.0604785	87.583	0.8905	0.87583	
09/04/2017 04:51:10.090593	4.8574	0.576891	0.05	-0.0289471	92.0749	0.920749	0.939153	
09/04/2017 04:51:11.090470	5.0541	0.59565	0.05	-0.0263715	92.0749	0.920749	0.939153	
09/04/2017 04:51:12.090324	5.05475	0.582898	0.05	-0.0263715	83.7102	0.844605	0.837102	
09/04/2017 04:51:13.090248	5.25702	0.573452	0.05	-0.0263715	83.7102	0.844605	0.837102	
09/04/2017 04:51:14.089804	5.25693	0.579348	0.05	-0.0263715	87.0307	0.876303	0.870307	
09/04/2017 04:51:15.089657	5.45757	0.574384	0.05	-0.0263715	87.4526	0.876303	0.874526	
09/04/2017 04:51:16.089386	5.45649	0.574384	0.05	-0.0263715	87.4526	0.876189	0.874526	
09/04/2017 04:51:17.088948	5.66387	0.56986	0.05	-0.0263715	87.4526	0.876189	0.874526	
09/04/2017 04:51:18.088676	5.66516	0.566847	0.1	-0.0263715	91.6735	0.916735	0.92429	
09/04/2017 04:51:19.088266	5.87733	0.574984	0.1	0.00469162	91.6735	0.916735	0.92429	
09/04/2017 04:51:20.087965	5.87596	0.58006	0.1	0.0259987	90.135	0.923319	0.90135	
09/04/2017 04:51:21.087844	6.06919	0.569907	0.1	0.0259987	84.6488	0.923319	0.846488	
